league_id,match_id,battle_id,date,game_no,team1,team2,winner,duration_min,snapshot_count,has_timeline,gold_diff,kill_diff,tower_diff,objective_diff,total_kills,total_towers
20260003,2026070303,501236240_3_1783080303,2026-07-03,1,成都AG超玩会,重庆狼队,重庆狼队,21.4,56,True,-3571,-10,-3,-6,20,15
20260003,2026070303,501236240_4_1783082769,2026-07-03,2,成都AG超玩会,重庆狼队,重庆狼队,13.15,38,True,-6784,-11,-4,-4,15,4
20260003,2026070303,501236240_5_1783084613,2026-07-03,3,重庆狼队,成都AG超玩会,成都AG超玩会,17.216666666666665,48,True,-8119,-1,-2,-4,15,6
20260003,2026070303,501236240_6_1783086603,2026-07-03,4,成都AG超玩会,重庆狼队,成都AG超玩会,13.75,38,True,3186,6,3,1,8,9
20260003,2026070303,501236240_7_1783088244,2026-07-03,5,成都AG超玩会,重庆狼队,,13.116666666666667,28,True,7545,4,8,3,12,8
20260003,2026070401,48251408_33_1783144897,2026-07-04,1,SYG,广州TTG,广州TTG,11.45,28,True,-7164,-5,-2,-1,9,8
20260003,2026070401,48251408_34_1783146545,2026-07-04,2,广州TTG,SYG,广州TTG,12.266666666666667,37,True,11466,9,6,1,15,8
20260003,2026070401,48251408_35_1783148188,2026-07-04,3,广州TTG,SYG,,17.05,50,True,2124,3,2,0,17,14
20260003,2026070402,48251408_36_1783155753,2026-07-04,1,WST,KSG,KSG,13.283333333333333,34,True,-5507,-5,-5,-4,15,9
20260003,2026070402,48251408_37_1783157545,2026-07-04,2,KSG,WST,KSG,21.0,61,True,8031,8,7,6,14,11
20260003,2026070402,48251408_38_1783159888,2026-07-04,3,KSG,WST,,14.95,43,True,9230,5,7,6,7,9
20260003,2026070403,1272988176_10_1783166431,2026-07-04,1,北京JDG,佛山DRG,北京JDG,18.85,58,True,7463,6,6,5,14,6
20260003,2026070403,1272988176_11_1783168590,2026-07-04,2,北京JDG,佛山DRG,北京JDG,14.633333333333333,48,True,8306,7,4,1,19,12
20260003,2026070403,1272988176_12_1783170451,2026-07-04,3,佛山DRG,北京JDG,北京JDG,12.433333333333334,34,True,-8066,-5,-1,1,13,3
20260003,2026070501,48251408_40_1783231250,2026-07-05,1,武汉eStarPro,南通Hero久竞,南通Hero久竞,14.866666666666667,45,True,-5440,-7,-7,-4,15,11
20260003,2026070501,48251408_41_1783233087,2026-07-05,2,南通Hero久竞,武汉eStarPro,武汉eStarPro,16.266666666666666,43,True,-9458,-7,-5,-3,15,7
20260003,2026070501,48251408_42_1783235107,2026-07-05,3,武汉eStarPro,南通Hero久竞,南通Hero久竞,14.933333333333334,41,True,-12000,-11,-6,-5,13,6
20260003,2026070501,48251408_43_1783237005,2026-07-05,4,武汉eStarPro,南通Hero久竞,武汉eStarPro,16.5,41,True,5259,8,-1,-3,16,13
20260003,2026070501,48251408_44_1783238715,2026-07-05,5,南通Hero久竞,武汉eStarPro,南通Hero久竞,18.583333333333332,52,True,7978,4,8,5,22,10
20260003,2026070502,970998288_3_1783242248,2026-07-05,1,济南RW侠,重庆狼队,济南RW侠,24.35,56,True,5248,4,4,-2,12,12
20260003,2026070502,970998288_4_1783244960,2026-07-05,2,济南RW侠,重庆狼队,济南RW侠,16.233333333333334,42,True,5525,4,4,1,18,10
20260003,2026070502,970998288_5_1783247198,2026-07-05,3,重庆狼队,济南RW侠,重庆狼队,15.6,40,True,7461,9,8,5,9,8
20260003,2026070502,970998288_6_1783249163,2026-07-05,4,济南RW侠,重庆狼队,重庆狼队,15.6,37,True,-6509,-8,-3,-1,18,7
20260003,2026070502,970998288_7_1783250863,2026-07-05,5,重庆狼队,济南RW侠,重庆狼队,22.316666666666666,60,True,6083,-1,1,0,23,15
20260003,2026070503,501236240_10_1783254441,2026-07-05,1,深圳DYG,成都AG超玩会,成都AG超玩会,11.616666666666667,29,True,-9424,-9,-3,-4,15,3
20260003,2026070503,501236240_11_1783256096,2026-07-05,2,成都AG超玩会,深圳DYG,成都AG超玩会,15.083333333333334,39,True,8191,6,3,3,14,5
20260003,2026070503,501236240_12_1783257974,2026-07-05,3,成都AG超玩会,深圳DYG,,15.116666666666667,39,True,7553,10,7,4,28,11
20260003,2026071703,501236240_8_1784297598,2026-07-17,5,成都AG超玩会,KSG,成都AG超玩会,20.966666666666665,15,True,11015,6,2,7,18,8
20260003,2026071903,501236240_12_1784462563,2026-07-19,1,成都AG超玩会,广州TTG,成都AG超玩会,19.216666666666665,32,True,5362,3,3,4,11,5
