league_id,match_id,date,start_time,team1,team2,stage,bo_type,scheduled_battles,has_raw
20260003,2026072302,2026-07-23,2026-07-23 17:00:00,深圳DYG,佛山DRG,未知赛段,5,0,0
20260003,2026072303,2026-07-23,2026-07-23 20:00:00,南通Hero久竞,济南RW侠,未知赛段,5,0,0
20260003,2026072401,2026-07-24,2026-07-24 14:00:00,上海RNG.M,WST,未知赛段,5,0,0
20260003,2026072402,2026-07-24,2026-07-24 17:00:00,西安WE,武汉eStarPro,未知赛段,5,0,0
20260003,2026072403,2026-07-24,2026-07-24 20:00:00,重庆狼队,长沙TES.A,未知赛段,5,0,0
20260003,2026072501,2026-07-25,2026-07-25 14:00:00,北京JDG,北京WB,未知赛段,5,0,0
20260003,2026072502,2026-07-25,2026-07-25 17:00:00,KSG,广州TTG,未知赛段,5,0,0
20260003,2026072503,2026-07-25,2026-07-25 20:00:00,成都AG超玩会,杭州LGD.NBW,未知赛段,5,0,0
20260003,2026072601,2026-07-26,2026-07-26 14:00:00,WST,武汉eStarPro,未知赛段,5,0,0
20260003,2026072602,2026-07-26,2026-07-26 17:00:00,深圳DYG,西安WE,未知赛段,5,0,0
20260003,2026072603,2026-07-26,2026-07-26 20:00:00,重庆狼队,南通Hero久竞,未知赛段,5,0,0
