league_id,match_id,start_time,date,year,team1,team2,status,status_text,stage,round_name,bo_type,battle_ids,battle_count,cc_match_id
20260003,2026070901,2026-07-09 14:00:00,2026-07-09,2026,南通Hero久竞,SYG,2,已结束,未知赛段,未知轮次,5,434127376_6_1783576872|434127376_7_1783578911|434127376_8_1783580896|434127376_9_1783583078|434127376_10_1783584430,5,KPL2026S2M4W1D1
20260003,2026070902,2026-07-09 17:00:00,2026-07-09,2026,济南RW侠,长沙TES.A,2,已结束,未知赛段,未知轮次,5,48251408_4_1783587902|48251408_5_1783590085|48251408_6_1783592016|48251408_7_1783594006|48251408_8_1783595663,5,KPL2026S2M4W1D2
20260003,2026070903,2026-07-09 20:00:00,2026-07-09,2026,佛山DRG,武汉eStarPro,2,已结束,未知赛段,未知轮次,5,48251408_9_1783601166|48251408_10_1783603187|48251408_11_1783604941,3,KPL2026S2M4W1D3
20260003,2026071001,2026-07-10 14:00:00,2026-07-10,2026,重庆狼队,上海EDG.M,2,已结束,未知赛段,未知轮次,5,954221072_2_1783663998|954221072_3_1783666130|954221072_4_1783667902,3,KPL2026S2M4W2D1
20260003,2026071002,2026-07-10 17:00:00,2026-07-10,2026,北京WB,KSG,2,已结束,未知赛段,未知轮次,5,1222656528_3_1783674079|1222656528_4_1783676596|1222656528_5_1783678278|1222656528_6_1783680334|1222656528_7_1783681838,5,KPL2026S2M4W2D2
20260003,2026071003,2026-07-10 20:00:00,2026-07-10,2026,北京JDG,成都AG超玩会,2,已结束,未知赛段,未知轮次,5,1272988176_3_1783685091|1272988176_4_1783687545|1272988176_5_1783689313|1272988176_6_1783691108,4,KPL2026S2M4W2D3
20260003,2026071201,2026-07-12 14:00:00,2026-07-12,2026,北京JDG,KSG,2,已结束,未知赛段,未知轮次,5,1272988176_9_1783836116|1272988176_10_1783838220|1272988176_11_1783840479,3,KPL2026S2M4W3D1
20260003,2026071202,2026-07-12 17:00:00,2026-07-12,2026,重庆狼队,济南RW侠,2,已结束,未知赛段,未知轮次,5,954221072_7_1783846810|954221072_8_1783849005|954221072_9_1783851043|954221072_10_1783853086|954221072_11_1783854879,5,KPL2026S2M4W3D2
20260003,2026071203,2026-07-12 20:00:00,2026-07-12,2026,北京WB,成都AG超玩会,2,已结束,未知赛段,未知轮次,5,1222656528_11_1783858327|1222656528_12_1783860000|1222656528_13_1783862241,3,KPL2026S2M4W3D3
20260003,2026071301,2026-07-13 14:00:00,2026-07-13,2026,上海RNG.M,西安WE,2,已结束,未知赛段,未知轮次,5,48251408_13_1783922508|48251408_14_1783924162|48251408_15_1783926557|48251408_16_1783928407|48251408_17_1783929980,5,KPL2026S2M4W4D1
20260003,2026071302,2026-07-13 17:00:00,2026-07-13,2026,深圳DYG,WST,2,已结束,未知赛段,未知轮次,5,48251408_18_1783935123|48251408_19_1783936819|48251408_20_1783938631|48251408_21_1783940194,4,KPL2026S2M4W4D2
20260003,2026071303,2026-07-13 20:00:00,2026-07-13,2026,杭州LGD.NBW,广州TTG,2,已结束,未知赛段,未知轮次,5,836780560_3_1783944015|836780560_4_1783946398|836780560_5_1783948060,3,KPL2026S2M4W4D3
20260003,2026071501,2026-07-15 14:00:00,2026-07-15,2026,SYG,长沙TES.A,2,已结束,未知赛段,未知轮次,5,48251408_4_1784095267|48251408_5_1784098598|48251408_6_1784101235|48251408_7_1784103216,4,KPL2026S2M5W1D1
20260003,2026071502,2026-07-15 17:00:00,2026-07-15,2026,西安WE,WST,2,已结束,未知赛段,未知轮次,5,48251408_8_1784108145|48251408_9_1784109500|48251408_10_1784111250|48251408_11_1784113251|48251408_12_1784114797,5,KPL2026S2M5W1D2
20260003,2026071503,2026-07-15 20:00:00,2026-07-15,2026,南通Hero久竞,上海EDG.M,2,已结束,未知赛段,未知轮次,5,434127376_3_1784117958|434127376_4_1784119879|434127376_5_1784122275|434127376_6_1784123953,4,KPL2026S2M5W1D3
20260003,2026071601,2026-07-16 14:00:00,2026-07-16,2026,佛山DRG,上海RNG.M,2,已结束,未知赛段,未知轮次,5,48251408_14_1784181721|48251408_15_1784183491|48251408_16_1784185230|48251408_17_1784187552|48251408_19_1784189591,5,KPL2026S2M5W2D1
20260003,2026071602,2026-07-16 17:00:00,2026-07-16,2026,武汉eStarPro,深圳DYG,2,已结束,未知赛段,未知轮次,5,48251408_21_1784194639|48251408_22_1784196450|48251408_23_1784198274|48251408_24_1784200591,4,KPL2026S2M5W2D2
20260003,2026071603,2026-07-16 20:00:00,2026-07-16,2026,北京JDG,广州TTG,2,已结束,未知赛段,未知轮次,5,1272988176_3_1784203495|1272988176_4_1784205568|1272988176_5_1784207599,3,KPL2026S2M5W2D3
20260003,2026071701,2026-07-17 14:00:00,2026-07-17,2026,南通Hero久竞,长沙TES.A,2,已结束,未知赛段,未知轮次,5,434127376_9_1784268310|434127376_10_1784270157|434127376_11_1784272282,3,KPL2026S2M5W3D1
20260003,2026071702,2026-07-17 17:00:00,2026-07-17,2026,杭州LGD.NBW,北京WB,2,已结束,未知赛段,未知轮次,5,836780560_3_1784278830|836780560_4_1784281513|836780560_5_1784283527,3,KPL2026S2M5W3D2
20260003,2026071703,2026-07-17 20:00:00,2026-07-17,2026,成都AG超玩会,KSG,2,已结束,未知赛段,未知轮次,5,501236240_3_1784289772|501236240_4_1784292087|501236240_5_1784293980|501236240_6_1784295677|501236240_8_1784297598,5,KPL2026S2M5W3D3
20260003,2026071801,2026-07-18 14:00:00,2026-07-18,2026,佛山DRG,WST,2,已结束,未知赛段,未知轮次,5,48251408_26_1784354391|48251408_27_1784356436|48251408_28_1784358124|48251408_29_1784360922,4,KPL2026S2M5W4D1
20260003,2026071802,2026-07-18 17:00:00,2026-07-18,2026,上海RNG.M,深圳DYG,2,已结束,未知赛段,未知轮次,5,48251408_30_1784366597|48251408_31_1784369504|48251408_32_1784371203,3,KPL2026S2M5W4D2
20260003,2026071803,2026-07-18 20:00:00,2026-07-18,2026,重庆狼队,SYG,2,已结束,未知赛段,未知轮次,5,954221072_5_1784376052|954221072_6_1784378562|954221072_7_1784380525|954221072_8_1784382593|954221072_9_1784384199,5,KPL2026S2M5W4D3
20260003,2026071901,2026-07-19 14:00:00,2026-07-19,2026,上海EDG.M,济南RW侠,2,已结束,未知赛段,未知轮次,5,48251408_34_1784441004|48251408_35_1784442777|48251408_36_1784444524|48251408_37_1784446683|48251408_38_1784448701,5,KPL2026S2M5W5D1
20260003,2026071902,2026-07-19 17:00:00,2026-07-19,2026,杭州LGD.NBW,北京JDG,2,已结束,未知赛段,未知轮次,5,836780560_8_1784451821|836780560_9_1784453768|836780560_10_1784456197|836780560_11_1784458047,4,KPL2026S2M5W5D2
20260003,2026071903,2026-07-19 20:00:00,2026-07-19,2026,成都AG超玩会,广州TTG,2,已结束,未知赛段,未知轮次,5,501236240_12_1784462563|501236240_13_1784464693|501236240_14_1784466631|501236240_15_1784468926|501236240_16_1784470733,5,KPL2026S2M5W5D3
20260003,2026072101,2026-07-21 14:00:00,2026-07-21,2026,长沙TES.A,上海EDG.M,1,进行中,未知赛段,未知轮次,5,48251408_2_1784613738,1,KPL2026S2M6W1D1
20260003,2026072102,2026-07-21 17:00:00,2026-07-21,2026,佛山DRG,西安WE,0,未开始,未知赛段,未知轮次,5,,0,KPL2026S2M6W1D2
20260003,2026072103,2026-07-21 20:00:00,2026-07-21,2026,济南RW侠,SYG,0,未开始,未知赛段,未知轮次,5,,0,KPL2026S2M6W1D3
20260003,2026072201,2026-07-22 14:00:00,2026-07-22,2026,武汉eStarPro,上海RNG.M,0,未开始,未知赛段,未知轮次,5,,0,KPL2026S2M6W2D1
20260003,2026072202,2026-07-22 17:00:00,2026-07-22,2026,杭州LGD.NBW,KSG,0,未开始,未知赛段,未知轮次,5,,0,KPL2026S2M6W2D2
20260003,2026072203,2026-07-22 20:00:00,2026-07-22,2026,北京WB,广州TTG,0,未开始,未知赛段,未知轮次,5,,0,KPL2026S2M6W2D3
20260003,2026072301,2026-07-23 14:00:00,2026-07-23,2026,SYG,上海EDG.M,0,未开始,未知赛段,未知轮次,5,,0,KPL2026S2M6W3D1
20260003,2026072302,2026-07-23 17:00:00,2026-07-23,2026,深圳DYG,佛山DRG,0,未开始,未知赛段,未知轮次,5,,0,KPL2026S2M6W3D2
20260003,2026072303,2026-07-23 20:00:00,2026-07-23,2026,南通Hero久竞,济南RW侠,0,未开始,未知赛段,未知轮次,5,,0,KPL2026S2M6W3D3
20260003,2026072401,2026-07-24 14:00:00,2026-07-24,2026,上海RNG.M,WST,0,未开始,未知赛段,未知轮次,5,,0,KPL2026S2M6W4D1
20260003,2026072402,2026-07-24 17:00:00,2026-07-24,2026,西安WE,武汉eStarPro,0,未开始,未知赛段,未知轮次,5,,0,KPL2026S2M6W4D2
20260003,2026072403,2026-07-24 20:00:00,2026-07-24,2026,重庆狼队,长沙TES.A,0,未开始,未知赛段,未知轮次,5,,0,KPL2026S2M6W4D3
20260003,2026072501,2026-07-25 14:00:00,2026-07-25,2026,北京JDG,北京WB,0,未开始,未知赛段,未知轮次,5,,0,KPL2026S2M6W5D1
20260003,2026072502,2026-07-25 17:00:00,2026-07-25,2026,KSG,广州TTG,0,未开始,未知赛段,未知轮次,5,,0,KPL2026S2M6W5D2
20260003,2026072503,2026-07-25 20:00:00,2026-07-25,2026,成都AG超玩会,杭州LGD.NBW,0,未开始,未知赛段,未知轮次,5,,0,KPL2026S2M6W5D3
20260003,2026072601,2026-07-26 14:00:00,2026-07-26,2026,WST,武汉eStarPro,0,未开始,未知赛段,未知轮次,5,,0,KPL2026S2M6W6D1
20260003,2026072602,2026-07-26 17:00:00,2026-07-26,2026,深圳DYG,西安WE,0,未开始,未知赛段,未知轮次,5,,0,KPL2026S2M6W6D2
20260003,2026072603,2026-07-26 20:00:00,2026-07-26,2026,重庆狼队,南通Hero久竞,0,未开始,未知赛段,未知轮次,5,,0,KPL2026S2M6W6D3
